Unnamed: 0	document_name	url	date	format	type_doc	unique_id
34	Bijlage 1 - Nieuwe visie	https://pijnacker-nootdorp.notubiz.nl/document/10813334/1#search=%22klimaatadaptatie%22	23-12-2021	document	Agendapunt	pijnacker-nootdorp_10813334
35	NAD terugblikken en vooruitkijken met Floor	https://pijnacker-nootdorp.notubiz.nl/document/12236628/1#search=%22klimaatadaptatie%22	22-12-2022	document	Ingekomen stukken	pijnacker-nootdorp_12236628
36	BBV16.0759 Waterklimaatplan 2017-2020 S 17BIJ00486 1	https://pijnacker-nootdorp.notubiz.nl/document/5604606/2#search=%22klimaatadaptatie%22	02-09-2024	document	Dossiers	pijnacker-nootdorp_5604606
37	Bijlage 2A Waterparagraaf	https://pijnacker-nootdorp.notubiz.nl/document/12510816/1#search=%22klimaatadaptatie%22	30-03-2023	document	Agendapunt	pijnacker-nootdorp_12510816
38	Raadsvoorstel Programma Water en Klimaat 2021-2024	https://pijnacker-nootdorp.notubiz.nl/document/9887110/1#search=%22klimaatadaptatie%22	22-04-2021	document	Agendapunt	pijnacker-nootdorp_9887110
39	Bijlage 2A Waterparagraaf	https://pijnacker-nootdorp.notubiz.nl/document/12510793/1#search=%22klimaatadaptatie%22	23-03-2023	document	Agendapunt	pijnacker-nootdorp_12510793
40	Beantwoording beeldvormende vragen PvdD, PPN, CDA, D66, EA en CDA - Kaderstellende notitie Oranjepark	https://pijnacker-nootdorp.notubiz.nl/document/13397725/2#search=%22klimaatadaptatie%22	26-10-2023	document	Agendapunt	pijnacker-nootdorp_13397725
41	Beantwoording beeldvormende vragen - Kaderstellende notitie Oranjepark	https://pijnacker-nootdorp.notubiz.nl/document/13506428/1#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	pijnacker-nootdorp_13506428
42	bijlage 2 Nota beantwoording Zienswijzen.docx	https://pijnacker-nootdorp.notubiz.nl/document/13903395/1#search=%22klimaatadaptatie%22	08-03-2024	document	Ingekomen stukken	pijnacker-nootdorp_13903395
43	Bijlage - Next Economy Effect Rapportage -NEER- De Boezem	https://pijnacker-nootdorp.notubiz.nl/document/12036832/1#search=%22klimaatadaptatie%22	10-11-2022	document	Ingekomen stukken	pijnacker-nootdorp_12036832
44	Beantwoording beeldvormende vragen initiatief Tiny Houses in Pijnacker-Nootdorp	https://pijnacker-nootdorp.notubiz.nl/document/13233827/2#search=%22klimaatadaptatie%22	28-09-2023	document	Agendapunt	pijnacker-nootdorp_13233827
45	Raadsvoorstel Waterklimaatplan 2017-2020 Helder over Water en Klimaat 1	https://pijnacker-nootdorp.notubiz.nl/document/5076618/1#search=%22klimaatadaptatie%22	30-03-2017	document	Agendapunt	pijnacker-nootdorp_5076618
46	Raadsvoorstel Waterklimaatplan 2017-2020 Helder over Water en Klimaat 1	https://pijnacker-nootdorp.notubiz.nl/document/5076585/1#search=%22klimaatadaptatie%22	09-03-2017	document	Agendapunt	pijnacker-nootdorp_5076585
47	Raadsvoorstel Waterklimaatplan 2017-2020 Helder over Water en Klimaat 1	https://pijnacker-nootdorp.notubiz.nl/document/5076610/1#search=%22klimaatadaptatie%22	16-03-2017	document	Agendapunt	pijnacker-nootdorp_5076610
48	Ai) Gebiedsgericht Omgevingsprogramma De Boezem	https://pijnacker-nootdorp.notubiz.nl/document/12036830/1#search=%22klimaatadaptatie%22	10-11-2022	document	Ingekomen stukken	pijnacker-nootdorp_12036830
49	Beantwoording beeldvormende vragen Trots, PPN - Beheerplan openbaar groen	https://pijnacker-nootdorp.notubiz.nl/document/12736264/1#search=%22klimaatadaptatie%22	11-05-2023	document	Agendapunt	pijnacker-nootdorp_12736264
50	Ondertekende brief voor griffiers roadshow gemeenteraadsverkiezingen	https://pijnacker-nootdorp.notubiz.nl/document/6338676/1#search=%22klimaatadaptatie%22	03-04-2018	document	Ingekomen stukken	pijnacker-nootdorp_6338676
