Unnamed: 0	document_name	url	date	format	type_doc	unique_id
468	Ontwikkelvisie 2040 Natuurkrachtig Hart van de Stad (24056) ONTWIKKELVISIE	https://almere.notubiz.nl/document/13828989/2#search=%22klimaatadaptatie%22	04-04-2024	document	Agendapunt	almere_13828989
469	BL Manifest MVOI 2022 - 2025 ONDERTEKEND MANIFEST 2016-2020	https://almere.notubiz.nl/document/12093119/1#search=%22klimaatadaptatie%22	22-11-2022	document	Agendapunt	almere_12093119
470	BL Manifest MVOI 2022 - 2025 ONDERTEKEND MANIFEST 2016-2020	https://almere.notubiz.nl/document/12122529/1#search=%22klimaatadaptatie%22	22-11-2022	document	Agendapunt	almere_12122529
471	Raadsvoorstel Evaluatie 1ste fase en voorbereiding 2e fase Oosterwold (RV-08) AANVAARD	https://almere.notubiz.nl/document/9860675/1#search=%22klimaatadaptatie%22	04-03-2021	document	Agendapunt	almere_9860675
472	101 - Uitkomst en vervolg Bestuurlijk Overleg Leefomgeving 15 juni 2023	https://almere.notubiz.nl/document/12925624/1#search=%22klimaatadaptatie%22	26-06-2023	document	Raadsbrieven	almere_12925624
473	BL Convenant Stedennetwerk G40 met Platform31 NIEUW CONVENANT	https://almere.notubiz.nl/document/12780084/3#search=%22klimaatadaptatie%22	09-05-2023	document	Agendapunt	almere_12780084
474	034 - Verwerken besluitvorming Strategische Agenda Flevoland	https://almere.notubiz.nl/document/13884322/1#search=%22klimaatadaptatie%22	05-03-2024	document	Raadsbrieven	almere_13884322
475	69 - Multimodaal Toekomstbeeld Metropoolregio Amsterdam	https://almere.notubiz.nl/document/12651222/1#search=%22klimaatadaptatie%22	20-04-2023	document	Raadsbrieven	almere_12651222
476	Gemeentelijke feedback concept-visie 2040 en Aanpak 2020-2024 voor Almere Haven (RV-15) VISIE	https://almere.notubiz.nl/document/8458995/1#search=%22klimaatadaptatie%22	05-03-2020	document	Agendapunt	almere_8458995
477	BL Omgevingsvergunning Monteverdistraat RUIMTELIJKE ONDERBOUWING	https://almere.notubiz.nl/document/9596421/2#search=%22klimaatadaptatie%22	15-12-2020	document	Agendapunt	almere_9596421
478	Coalitieakkoord Almere 2022-2026	https://almere.notubiz.nl/document/11690059/1#search=%22klimaatadaptatie%22	29-05-2024	document	Dossiers	almere_11690059
479	Visie 2040 Almere Haven publiekrechtelijk borgen en uitwerken (RV-111) VISIE	https://almere.notubiz.nl/document/10652579/3#search=%22klimaatadaptatie%22	25-11-2021	document	Agendapunt	almere_10652579
480	53 - Transformatie werkfuncties en ruimtebehoefte bedrijventerreinen	https://almere.notubiz.nl/document/12599864/1#search=%22klimaatadaptatie%22	06-04-2023	document	Raadsbrieven	almere_12599864
481	Meerjaren Perspectief Gebiedsontwikkelingen Almere 2023 / Programmeringsrapportage Complete Stad 2023 (23149) PROGRAMMERINGSRAPPORTAGE	https://almere.notubiz.nl/document/12826353/3#search=%22klimaatadaptatie%22	29-06-2023	document	Agendapunt	almere_12826353
482	Agendavoorstel Presidium: Gesprek met de accountant (23157) CONCEPT ACCOUNTANTSVERSLAG	https://almere.notubiz.nl/document/12914850/1#search=%22klimaatadaptatie%22	29-06-2023	document	Agendapunt	almere_12914850
483	Agendavoorstel college: Vernieuwing digitalisering en informatievoorziening (24017) DIGITALISERINGSSTRATEGIE	https://almere.notubiz.nl/document/13691419/2#search=%22klimaatadaptatie%22	01-02-2024	document	Agendapunt	almere_13691419
484	BL Ontwerpvergunning Montessori Campus Nobelhorst RUIMTELIJKE ONDERBOUWING	https://almere.notubiz.nl/document/12127918/1#search=%22klimaatadaptatie%22	29-11-2022	document	Agendapunt	almere_12127918
485	BL BALV VNG VERGADERSTUKKEN	https://almere.notubiz.nl/document/7110973/1#search=%22klimaatadaptatie%22	27-11-2018	document	Agendapunt	almere_7110973
486	Ontwerp verklaring van geen bedenkingen voor woongebouw met vijf appartementen aan de Monteverdistraat (RV-42) GOEDE RUIMTELIJKE ONDERBOUWING	https://almere.notubiz.nl/document/8801921/1#search=%22klimaatadaptatie%22	25-06-2020	document	Agendapunt	almere_8801921
487	155 Meerjaren Perspectief Vastgoed Almere 2022-2025	https://almere.notubiz.nl/document/10506225/1#search=%22klimaatadaptatie%22	07-09-2021	document	Raadsbrieven	almere_10506225
488	BL Wijzigingsplan Linnaeusweg 12b WIJZIGINGSPLAN	https://almere.notubiz.nl/document/12780037/1#search=%22klimaatadaptatie%22	09-05-2023	document	Agendapunt	almere_12780037
489	BL Wijzigingsplan Linnaeusweg 18 WIJZIGINGSPLAN	https://almere.notubiz.nl/document/12780055/1#search=%22klimaatadaptatie%22	09-05-2023	document	Agendapunt	almere_12780055
490	Invullen bezuinigingen begroting 2025 (24195) NOTITIE BEZUINIGINGEN EN INKOMSTENVERHOGINGEN	https://almere.notubiz.nl/document/14404679/1#search=%22klimaatadaptatie%22	05-09-2024	document	Agendapunt	almere_14404679
491	Bundel 4 juli	https://almere.notubiz.nl/document/7774710/1#search=%22klimaatadaptatie%22	04-07-2019	document	Evenement	almere_7774710
492	Bundel 4 juni	https://almere.notubiz.nl/document/8803860/1#search=%22klimaatadaptatie%22	04-06-2020	document	Evenement	almere_8803860
493	Visie en aanpak Stationskwartier Almere Centrum (RV-23) REACTIENOTA	https://almere.notubiz.nl/document/7434715/1#search=%22klimaatadaptatie%22	04-04-2019	document	Agendapunt	almere_7434715
494	BL Beleidskader grootschalig onderhoud woonwijken en bedrijventerreinen BELEIDSKADER	https://almere.notubiz.nl/document/11001772/1#search=%22klimaatadaptatie%22	21-12-2021	document	Agendapunt	almere_11001772
495	CV Floriade Almere 2022	https://almere.notubiz.nl/document/3386041/1#search=%22klimaatadaptatie%22	18-11-2014	document	Agendapunt	almere_3386041
496	BL Jaarprogramma FVA 2020 JAARPROGRAMMA	https://almere.notubiz.nl/document/7805595/1#search=%22klimaatadaptatie%22	02-07-2019	document	Agendapunt	almere_7805595
497	Floriade Almere 2022 (RV-78) RAADSVOORSTEL	https://almere.notubiz.nl/document/1713919/4#search=%22klimaatadaptatie%22	14-11-2014	document	Agendapunt	almere_1713919
498	Floriade Almere 2022 (RV-78) COLLEGEVOORSTEL	https://almere.notubiz.nl/document/1713925/3#search=%22klimaatadaptatie%22	14-11-2014	document	Agendapunt	almere_1713925
499	Bundel 27 augustus	https://almere.notubiz.nl/document/9071440/1#search=%22klimaatadaptatie%22	27-08-2020	document	Evenement	almere_9071440
500	BL Aanvraag BZK Aardgasvrije proefwijken BZK AANVRAAG	https://almere.notubiz.nl/document/6652206/1#search=%22klimaatadaptatie%22	19-06-2018	document	Agendapunt	almere_6652206
501	230 Uitkomsten Bestuurlijk Overleg MIRT 2019	https://almere.notubiz.nl/document/8225710/1#search=%22klimaatadaptatie%22	27-11-2019	document	Raadsbrieven	almere_8225710
502	BL ENSIA 2022 BESTUURLIJKE VERANTWOORDINGBAG-BGT-BRO NAV DE ZELFEVALIUATIE ENSIA 2022	https://almere.notubiz.nl/document/12683900/3#search=%22klimaatadaptatie%22	11-04-2023	document	Agendapunt	almere_12683900
503	066 Kwaliteitsniveau BAG BGT en BRO n.a.v. ENSIA 2021	https://almere.notubiz.nl/document/11355955/1#search=%22klimaatadaptatie%22	30-03-2022	document	Raadsbrieven	almere_11355955
504	Raadsvoorstel Floriade Almere 2022 (RV-78)	https://almere.notubiz.nl/document/4345324/1#search=%22klimaatadaptatie%22	15-01-2015	document	Dossiers	almere_4345324
505	7. Floriade Almere 2022 (RV-78) COLLEGEVOORSTEL	https://almere.notubiz.nl/document/8563146/1#search=%22klimaatadaptatie%22	02-09-2024	document	Dossiers	almere_8563146
506	1. Floriade Almere 2022 (RV-78) RAADSVOORSTEL GEAMENDEERD	https://almere.notubiz.nl/document/9971402/3#search=%22klimaatadaptatie%22	02-09-2024	document	Dossiers	almere_9971402
507	Ontwikkelkader Almere Buiten Centrum 2030 (RV-15) ONTWIKKELKADER	https://almere.notubiz.nl/document/10969773/3#search=%22klimaatadaptatie%22	17-02-2022	document	Agendapunt	almere_10969773
508	021 - Evaluatie Beleidskader Uitvoering en Handhaving Almere 2019-2022	https://almere.notubiz.nl/document/13818870/1#search=%22klimaatadaptatie%22	16-02-2024	document	Raadsbrieven	almere_13818870
509	Fasering, verrekening en dekking afvalwaterzorg Oosterwold (23225) RAADSVOORSTEL	https://almere.notubiz.nl/document/13292079/2#search=%22klimaatadaptatie%22	12-10-2023	document	Agendapunt	almere_13292079
510	Raadsvoorstel Fasering, verrekening en dekking afvalwaterzorg Oosterwold (23225) AANGENOMEN	https://almere.notubiz.nl/document/13537034/1#search=%22klimaatadaptatie%22	23-11-2023	document	Agendapunt	almere_13537034
511	Studiedagen Raad van Almere 2019-september	https://almere.notubiz.nl/document/8334529/1#search=%22klimaatadaptatie%22	13-09-2019	document	Evenement	almere_8334529
512	Studiedagen Raad van Almere 2019-september	https://almere.notubiz.nl/document/8335994/1#search=%22klimaatadaptatie%22	09-01-2020	document	Dossiers	almere_8335994
513	BL Voorkeursalternatief Oostvaardersoevers MANAGEMENTSAMENVATTING	https://almere.notubiz.nl/document/10654846/1#search=%22klimaatadaptatie%22	05-10-2021	document	Agendapunt	almere_10654846
514	Campuslocatie in de Binnenstad (RV-47) UITGANGSPUNTEN ONTWIKKELINGSPLAN 5.2 HOSPITAALGARAGE	https://almere.notubiz.nl/document/10063000/2#search=%22klimaatadaptatie%22	24-06-2021	document	Agendapunt	almere_10063000
515	Campuslocatie in de Binnenstad (RV-47) UITGANGSPUNTEN ONTWIKKELINGSPLAN NO-KWADRANT	https://almere.notubiz.nl/document/10063001/2#search=%22klimaatadaptatie%22	24-06-2021	document	Agendapunt	almere_10063001
516	190 - Kwartaalrapportage Bouwen en Wonen Q2 en Q3 2023	https://almere.notubiz.nl/document/13458974/1#search=%22klimaatadaptatie%22	09-11-2023	document	Raadsbrieven	almere_13458974
